Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"West Fargo Public Schools, North Dakota",NDA,WEST FARGO PUBLIC SCHOOLS,NORTH DAKOTA,,,,
"City of South Portland, Maine",NDA,CITY OF SOUTH PORTLAND,MAINE,,,,
"South Mountain Community College, Arizona",NDA,SOUTH MOUNTAIN COMMUNITY COLLEGE,ARIZONA,,,,
"Mt Vernon R-5 School District, Missouri",NDA,MT VERNON R-5 SCHOOL DISTRICT,MISSOURI,,,,
"Jonesboro Public Schools, Arkansas",NDA,JONESBORO PUBLIC SCHOOLS,ARKANSAS,,,,
"Franklin Area School District, Pennsylvania",NDA,FRANKLIN AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Hermitage School District, Pennsylvania",NDA,HERMITAGE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Tornillo Independent School District, Texas",NDA,TORNILLO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"University of North Carolina Hospital, North Carolina",NDA,UNIVERSITY OF NORTH CAROLINA HOSPITAL,NORTH CAROLINA,,,,
"Smithville R-II School District, Missouri",NDA,SMITHVILLE R-II SCHOOL DISTRICT,MISSOURI,,,,
"School District of Somerset, Wisconsin",NDA,SCHOOL DISTRICT OF SOMERSET,WISCONSIN,,,,
"Texas A&M Engineering Experiment Station, Texas",NDA,TEXAS A&M ENGINEERING EXPERIMENT STATION,TEXAS,,,,
"Rockwall Independent School District, Texas",NDA,ROCKWALL INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Grambling State University, Louisiana",NDA,GRAMBLING STATE UNIVERSITY,LOUISIANA,,,,
"Andover Public Schools, Massachusetts",NDA,ANDOVER PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"East Valley Central Middle School, Washington",NDA,EAST VALLEY CENTRAL MIDDLE SCHOOL,WASHINGTON,,,,
"San Bernardino County Superintendent of Schools, California",NDA,SAN BERNARDINO COUNTY SUPERINTENDENT OF SCHOOLS,CALIFORNIA,,,,
"Jefferson County, Idaho",NDA,JEFFERSON COUNTY,IDAHO,,,,
"Grapevine-Colleyville Independent School District, Texas",NDA,GRAPEVINE-COLLEYVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Copper Country Independent School District, Michigan",NDA,COPPER COUNTRY INDEPENDENT SCHOOL DISTRICT,MICHIGAN,,,,
"Pine Hill Borough School District, New Jersey",NDA,PINE HILL BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Escondido Union School District, California",NDA,ESCONDIDO UNION SCHOOL DISTRICT,CALIFORNIA,,,,
"Midview Local School District, Ohio",NDA,MIDVIEW LOCAL SCHOOL DISTRICT,OHIO,,,,
"East Grand School District No. 2 School District, Colorado",NDA,EAST GRAND SCHOOL DISTRICT NO. 2 SCHOOL DISTRICT,COLORADO,,,,
"El Dorado Union High School District, California",NDA,EL DORADO UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Cedar Grove Belgium School District, Wisconsin",NDA,CEDAR GROVE BELGIUM SCHOOL DISTRICT,WISCONSIN,,,,
"Irvine Unified School District, California",NDA,IRVINE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Clark County Schools, Kentucky",NDA,CLARK COUNTY SCHOOLS,KENTUCKY,,,,
"Mt. Adams School District No. 209, Washington",NDA,MT. ADAMS SCHOOL DISTRICT NO. 209,WASHINGTON,,,,
"Bellbrook-Sugarcreek Local School District, Ohio",NDA,BELLBROOK-SUGARCREEK LOCAL SCHOOL DISTRICT,OHIO,,,,
"SUNY Upstate Medical University, New York",NDA,SUNY UPSTATE MEDICAL UNIVERSITY,NEW YORK,,,,
"South Plainfield Borough School District, New Jersey",NDA,SOUTH PLAINFIELD BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Northern State University, South Dakota",NDA,NORTHERN STATE UNIVERSITY,SOUTH DAKOTA,,,,
"Gentry School District No. 19, Arkansas",NDA,GENTRY SCHOOL DISTRICT NO. 19,ARKANSAS,,,,
"Connecticut State Colleges & Universities, Connecticut",NDA,CONNECTICUT STATE COLLEGES & UNIVERSITIES,CONNECTICUT,,,,
"Jasper Independent School District, Texas",NDA,JASPER INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Mansfield Public Schools, Massachusetts",NDA,MANSFIELD PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"University of Central Missouri, Missouri",NDA,UNIVERSITY OF CENTRAL MISSOURI,MISSOURI,,,,
"Center Point-Urbana Community School District, Iowa",NDA,CENTER POINT-URBANA COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"City of Las Cruces, New Mexico",NDA,CITY OF LAS CRUCES,NEW MEXICO,,,,
"Franklin Community Schools, Indiana",NDA,FRANKLIN COMMUNITY SCHOOLS,INDIANA,,,,
"Summit Hill School District 161, Illinois",NDA,SUMMIT HILL SCHOOL DISTRICT 161,ILLINOIS,,,,
"Pleasant Valley Community School District, Iowa",NDA,PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Hendrick Hudson School District, New York",NDA,HENDRICK HUDSON SCHOOL DISTRICT,NEW YORK,,,,
"Somerset Public Schools, Massachusetts",NDA,SOMERSET PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Magnolia Independent School District, Texas",NDA,MAGNOLIA INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Newton-Conover City Schools, North Carolina",NDA,NEWTON-CONOVER CITY SCHOOLS,NORTH CAROLINA,,,,
"Mankato Area Public Schools ISD No. 77, Minnesota",NDA,MANKATO AREA PUBLIC SCHOOLS ISD NO. 77,MINNESOTA,,,,
"Mexico Academy & Central School District, New York",NDA,MEXICO ACADEMY & CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"City of Waupun, Wisconsin",NDA,CITY OF WAUPUN,WISCONSIN,,,,
"Jefferson-Lewis BOCES, New York",NDA,JEFFERSON-LEWIS BOCES,NEW YORK,,,,
"Lammersville Unified School District, California",NDA,LAMMERSVILLE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Wright State University, Ohio",NDA,WRIGHT STATE UNIVERSITY,OHIO,,,,
"New Caney Independent School District, Texas",NDA,NEW CANEY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"University of Wisconsin System, Wisconsin",NDA,UNIVERSITY OF WISCONSIN SYSTEM,WISCONSIN,,,,
"Bay Shore Regional Sewerage Authority, New Jersey",NDA,BAY SHORE REGIONAL SEWERAGE AUTHORITY,NEW JERSEY,,,,
"Rochester Area School District, Pennsylvania",NDA,ROCHESTER AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Bullard Independent School District, Texas",NDA,BULLARD INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Florida Agricultural & Mechanical University (Florida A & M), Florida",NDA,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY (FLORIDA A & M),FLORIDA,,,,
"Middlesex County College, New Jersey",NDA,MIDDLESEX COUNTY COLLEGE,NEW JERSEY,,,,
"Los Angeles City College, California",NDA,LOS ANGELES CITY COLLEGE,CALIFORNIA,,,,
"Dover Area School District, Pennsylvania",NDA,DOVER AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Park Ridge-Niles Community Consolidated School District No. 64, Illinois",NDA,PARK RIDGE-NILES COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 64,ILLINOIS,,,,
"Lorain County Joint Vocational School District, Ohio",NDA,LORAIN COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,OHIO,,,,
"Norfolk State University, Virginia",NDA,NORFOLK STATE UNIVERSITY,VIRGINIA,,,,
"University of Central Florida, Florida",NDA,UNIVERSITY OF CENTRAL FLORIDA,FLORIDA,,,,
"Indiana University/Purdue University-Indianapolis, Indiana",NDA,INDIANA UNIVERSITY/PURDUE UNIVERSITY-INDIANAPOLIS,INDIANA,,,,
"Frazee-Vergas Independent School District No. 23, Minnesota",NDA,FRAZEE-VERGAS INDEPENDENT SCHOOL DISTRICT NO. 23,MINNESOTA,,,,
"Georgia Department of Public Safety, Georgia",NDA,GEORGIA DEPARTMENT OF PUBLIC SAFETY,GEORGIA,,,,
"Rockford Independent School District No. 883, Minnesota",NDA,ROCKFORD INDEPENDENT SCHOOL DISTRICT NO. 883,MINNESOTA,,,,
"Roseville High School, California",NDA,ROSEVILLE HIGH SCHOOL,CALIFORNIA,,,,
"Ballard Community School District, Iowa",NDA,BALLARD COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"City of El Paso, Texas",NDA,CITY OF EL PASO,TEXAS,,,,
"City of Gardner, Massachusetts",NDA,CITY OF GARDNER,MASSACHUSETTS,,,,
"Lake Chelan School District No. 129, Washington",NDA,LAKE CHELAN SCHOOL DISTRICT NO. 129,WASHINGTON,,,,
"Manteno Community Unit School District No. 5, Illinois",NDA,MANTENO COMMUNITY UNIT SCHOOL DISTRICT NO. 5,ILLINOIS,,,,
"Sehome High School, Washington",NDA,SEHOME HIGH SCHOOL,WASHINGTON,,,,
"College Community School District, Iowa",NDA,COLLEGE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Riverton Unified School District 404, Kansas",NDA,RIVERTON UNIFIED SCHOOL DISTRICT 404,KANSAS,,,,
"School District of Fargo, North Dakota",NDA,SCHOOL DISTRICT OF FARGO,NORTH DAKOTA,,,,
"University of Northern Iowa, Iowa",NDA,UNIVERSITY OF NORTHERN IOWA,IOWA,,,,
"Salem State University, Massachusetts",NDA,SALEM STATE UNIVERSITY,MASSACHUSETTS,,,,
"Parish of St. John The Baptist, Louisiana",NDA,PARISH OF ST. JOHN THE BAPTIST,LOUISIANA,,,,
"Palos Community Consolidated School District No. 118, Illinois",NDA,PALOS COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 118,ILLINOIS,,,,
"Hutto Independent School District, Texas",NDA,HUTTO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"City of Holtville, California",NDA,CITY OF HOLTVILLE,CALIFORNIA,,,,
"Earlimart School District, California",NDA,EARLIMART SCHOOL DISTRICT,CALIFORNIA,,,,
"Tri Valley School District 49-6, South Dakota",NDA,TRI VALLEY SCHOOL DISTRICT 49-6,SOUTH DAKOTA,,,,
"Clint Independent School District, Texas",NDA,CLINT INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Laurel Highlands School District, Pennsylvania",NDA,LAUREL HIGHLANDS SCHOOL DISTRICT,PENNSYLVANIA,,,,
"West Chester University Of Pennsylvania, Pennsylvania",NDA,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,PENNSYLVANIA,,,,
"Town of Normal, Illinois",NDA,TOWN OF NORMAL,ILLINOIS,,,,
"Baker County School Board, Florida",NDA,BAKER COUNTY SCHOOL BOARD,FLORIDA,,,,
"Nadaburg School District 81, Arizona",NDA,NADABURG SCHOOL DISTRICT 81,ARIZONA,,,,
"College of Lake County, Illinois",NDA,COLLEGE OF LAKE COUNTY,ILLINOIS,,,,
"Jackson County Intermediate School District, Michigan",NDA,JACKSON COUNTY INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,,,,
"Keokuk Community School District, Iowa",NDA,KEOKUK COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Harvey County, Kansas",NDA,HARVEY COUNTY,KANSAS,,,,
"Yellville-Summit School District, Arkansas",NDA,YELLVILLE-SUMMIT SCHOOL DISTRICT,ARKANSAS,,,,
"Florida Department of Health, Florida",NDA,FLORIDA DEPARTMENT OF HEALTH,FLORIDA,,,,
"Michigan State University, Michigan",NDA,MICHIGAN STATE UNIVERSITY,MICHIGAN,,,,
"Teaneck Township School District, New Jersey",NDA,TEANECK TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,,,,
"Bay Path Regional Vocational Technical High School, Massachusetts",NDA,BAY PATH REGIONAL VOCATIONAL TECHNICAL HIGH SCHOOL,MASSACHUSETTS,,,,
"Tuscola Intermediate School District, Michigan",NDA,TUSCOLA INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,,,,
"Washington Unified School District, California",NDA,WASHINGTON UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Chaffey College, California",NDA,CHAFFEY COLLEGE,CALIFORNIA,,,,
"Marshall County, Iowa",NDA,MARSHALL COUNTY,IOWA,,,,
"City of Tacoma, Washington",NDA,CITY OF TACOMA,WASHINGTON,,,,
"Tacoma Public Utilities, Washington",NDA,TACOMA PUBLIC UTILITIES,WASHINGTON,,,,
"Tolles Joint Vocational School District, Ohio",NDA,TOLLES JOINT VOCATIONAL SCHOOL DISTRICT,OHIO,,,,
"University of Michigan - Dearborn, Michigan",NDA,UNIVERSITY OF MICHIGAN - DEARBORN,MICHIGAN,,,,
"Washington State Department of Social and Health Services, Washington",NDA,WASHINGTON STATE DEPARTMENT OF SOCIAL AND HEALTH SERVICES,WASHINGTON,,,,
"Stafford Public Schools, Connecticut",NDA,STAFFORD PUBLIC SCHOOLS,CONNECTICUT,,,,
"Washington County, Oregon",NDA,WASHINGTON COUNTY,OREGON,,,,
"Williston Public School District #7, North Dakota",NDA,WILLISTON PUBLIC SCHOOL DISTRICT #7,NORTH DAKOTA,,,,
"Oakmont High School, California",NDA,OAKMONT HIGH SCHOOL,CALIFORNIA,,,,
"Brandon Valley School District, South Dakota",NDA,BRANDON VALLEY SCHOOL DISTRICT,SOUTH DAKOTA,,,,
"Athens Independent School District, Texas",NDA,ATHENS INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Village of Chatham, Illinois",NDA,VILLAGE OF CHATHAM,ILLINOIS,,,,
"St. Anthony-New Brighton Public School District No. 282, Minnesota",NDA,ST. ANTHONY-NEW BRIGHTON PUBLIC SCHOOL DISTRICT NO. 282,MINNESOTA,,,,
"Penta Career Center, Ohio",NDA,PENTA CAREER CENTER,OHIO,,,,
"Blue Valley Schools, Kansas",NDA,BLUE VALLEY SCHOOLS,KANSAS,,,,
"Canyon Independent School District, Texas",NDA,CANYON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Kent State University, Ohio",NDA,KENT STATE UNIVERSITY,OHIO,,,,
"Springfield School District 85, Minnesota",NDA,SPRINGFIELD SCHOOL DISTRICT 85,MINNESOTA,,,,
"Township High School District No. 211, Illinois",NDA,TOWNSHIP HIGH SCHOOL DISTRICT NO. 211,ILLINOIS,,,,
"University of North Carolina-Greensboro, North Carolina",NDA,UNIVERSITY OF NORTH CAROLINA-GREENSBORO,NORTH CAROLINA,,,,
"City of Friendswood, Texas",NDA,CITY OF FRIENDSWOOD,TEXAS,,,,
"School District 145 Waverly, Nebraska",NDA,SCHOOL DISTRICT 145 WAVERLY,NEBRASKA,,,,
"Crawford County R-II School District, Missouri",NDA,CRAWFORD COUNTY R-II SCHOOL DISTRICT,MISSOURI,,,,
"Massapequa Public Schools, New York",NDA,MASSAPEQUA PUBLIC SCHOOLS,NEW YORK,,,,
"Oregon Department of Corrections, Oregon",NDA,OREGON DEPARTMENT OF CORRECTIONS,OREGON,,,,
"Douglas Middle School, Wyoming",NDA,DOUGLAS MIDDLE SCHOOL,WYOMING,,,,
"Denville Township School District, New Jersey",NDA,DENVILLE TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,,,,
"Woodburn School District No. 103, Oregon",NDA,WOODBURN SCHOOL DISTRICT NO. 103,OREGON,,,,
"Department of Military Affairs, Virginia",NDA,DEPARTMENT OF MILITARY AFFAIRS,VIRGINIA,,,,
"University of California-Davis, California",NDA,UNIVERSITY OF CALIFORNIA-DAVIS,CALIFORNIA,,,,
"Mountain View School District, Pennsylvania",NDA,MOUNTAIN VIEW SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Mount Pleasant Independent School District, Texas",NDA,MOUNT PLEASANT INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"The University of South Dakota, South Dakota",NDA,THE UNIVERSITY OF SOUTH DAKOTA,SOUTH DAKOTA,,,,
"Virginia Commonwealth University, Virginia",NDA,VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA,,,,
"Virginia Military Institute, Virginia",NDA,VIRGINIA MILITARY INSTITUTE,VIRGINIA,,,,
"Worcester State University, Massachusetts",NDA,WORCESTER STATE UNIVERSITY,MASSACHUSETTS,,,,
"South Dakota School of Mines & Technology, South Dakota",NDA,SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,SOUTH DAKOTA,,,,
"Sacramento City Unified School District, California",NDA,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Burley Elementary School, Illinois",NDA,BURLEY ELEMENTARY SCHOOL,ILLINOIS,,,,
"Carter County School District, Kentucky",NDA,CARTER COUNTY SCHOOL DISTRICT,KENTUCKY,,,,
"Ruidoso Municipal Schools, New Mexico",NDA,RUIDOSO MUNICIPAL SCHOOLS,NEW MEXICO,,,,
"University of Massachusetts - Dartmouth, Massachusetts",NDA,UNIVERSITY OF MASSACHUSETTS - DARTMOUTH,MASSACHUSETTS,,,,
"Inver Grove Heights Indpendent School District No. 199, Minnesota",NDA,INVER GROVE HEIGHTS INDPENDENT SCHOOL DISTRICT NO. 199,MINNESOTA,,,,
"City of Chubbuck, Idaho",NDA,CITY OF CHUBBUCK,IDAHO,,,,
"Comsewogue School District, New York",NDA,COMSEWOGUE SCHOOL DISTRICT,NEW YORK,,,,
"School Of The Osage District R-2, Missouri",NDA,SCHOOL OF THE OSAGE DISTRICT R-2,MISSOURI,,,,
"Port of Los Angeles, California",NDA,PORT OF LOS ANGELES,CALIFORNIA,,,,
"Dripping Springs Independent School District, Texas",NDA,DRIPPING SPRINGS INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Port of Bellingham, Washington",NDA,PORT OF BELLINGHAM,WASHINGTON,,,,
"Consolidated School District No. 158, Illinois",NDA,CONSOLIDATED SCHOOL DISTRICT NO. 158,ILLINOIS,,,,
"Monroe Career & Technical Institute, Pennsylvania",NDA,MONROE CAREER & TECHNICAL INSTITUTE,PENNSYLVANIA,,,,
"University of California-Riverside, California",NDA,UNIVERSITY OF CALIFORNIA-RIVERSIDE,CALIFORNIA,,,,
"Hugoton USD 210, Kansas",NDA,HUGOTON USD 210,KANSAS,,,,
"Huron Intermediate School District, Michigan",NDA,HURON INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,,,,
"Medina Public School District #3, North Dakota",NDA,MEDINA PUBLIC SCHOOL DISTRICT #3,NORTH DAKOTA,,,,
"School District of Marshfield, Wisconsin",NDA,SCHOOL DISTRICT OF MARSHFIELD,WISCONSIN,,,,
"Sgt. Jose F. Carrasco Elementary School, Texas",NDA,SGT. JOSE F. CARRASCO ELEMENTARY SCHOOL,TEXAS,,,,
"Oak Grove School District 68, Illinois",NDA,OAK GROVE SCHOOL DISTRICT 68,ILLINOIS,,,,
"Everett Area School District, Pennsylvania",NDA,EVERETT AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Lehigh Career & Technical Institute (LCTI), Pennsylvania",NDA,LEHIGH CAREER & TECHNICAL INSTITUTE (LCTI),PENNSYLVANIA,,,,
"Grand Island School District 2, Nebraska",NDA,GRAND ISLAND SCHOOL DISTRICT 2,NEBRASKA,,,,
"Johnson County, Wyoming",NDA,JOHNSON COUNTY,WYOMING,,,,
"Sunnyside Unified School District #12, Arizona",NDA,SUNNYSIDE UNIFIED SCHOOL DISTRICT #12,ARIZONA,,,,
"Cedarville Public Schools, Arkansas",NDA,CEDARVILLE PUBLIC SCHOOLS,ARKANSAS,,,,
"Howard-Winneshiek Community School District, Iowa",NDA,HOWARD-WINNESHIEK COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Nebraska Department of Correctional Services, Nebraska",NDA,NEBRASKA DEPARTMENT OF CORRECTIONAL SERVICES,NEBRASKA,,,,
"Highland Park Borough School District, New Jersey",NDA,HIGHLAND PARK BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Vernon College, Texas",NDA,VERNON COLLEGE,TEXAS,,,,
"Jefferson County Education Service District (JCESD), Oregon",NDA,JEFFERSON COUNTY EDUCATION SERVICE DISTRICT (JCESD),OREGON,,,,
"Ephrata School District No. 165, Washington",NDA,EPHRATA SCHOOL DISTRICT NO. 165,WASHINGTON,,,,
"Chaparral Middle School, California",NDA,CHAPARRAL MIDDLE SCHOOL,CALIFORNIA,,,,
"City of Alvin, Texas",NDA,CITY OF ALVIN,TEXAS,,,,
"City of Baltimore, Maryland",NDA,CITY OF BALTIMORE,MARYLAND,,,,
"Stow-Munroe Falls City School District School District, Ohio",NDA,STOW-MUNROE FALLS CITY SCHOOL DISTRICT SCHOOL DISTRICT,OHIO,,,,
"Lewis-Palmer Consolidated School District No. 38, Colorado",NDA,LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38,COLORADO,,,,
"Florida International University, Florida",NDA,FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,,,,
"Downers Grove Grade School District 58, Illinois",NDA,DOWNERS GROVE GRADE SCHOOL DISTRICT 58,ILLINOIS,,,,
"Tennessee Board of Regents, Tennessee",NDA,TENNESSEE BOARD OF REGENTS,TENNESSEE,,,,
"Bald Eagle Area School District, Pennsylvania",NDA,BALD EAGLE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Benson Public School District No. 777, Minnesota",NDA,BENSON PUBLIC SCHOOL DISTRICT NO. 777,MINNESOTA,,,,
"Harrisonville Cass R-IX School District, Missouri",NDA,HARRISONVILLE CASS R-IX SCHOOL DISTRICT,MISSOURI,,,,
"Southern Nevada Water Authority, Nevada",NDA,SOUTHERN NEVADA WATER AUTHORITY,NEVADA,,,,
"Elmbrook Schools, Wisconsin",NDA,ELMBROOK SCHOOLS,WISCONSIN,,,,
"Social Security Administration - GSA, District of Columbia",NDA,SOCIAL SECURITY ADMINISTRATION - GSA,DISTRICT OF COLUMBIA,,,,
"North Carolina A&T State University, North Carolina",NDA,NORTH CAROLINA A&T STATE UNIVERSITY,NORTH CAROLINA,,,,
"City of Pilot Point, Texas",NDA,CITY OF PILOT POINT,TEXAS,,,,
"Herty Advanced Materials Development Center, Georgia",NDA,HERTY ADVANCED MATERIALS DEVELOPMENT CENTER,GEORGIA,,,,
"New River Community College, Virginia",NDA,NEW RIVER COMMUNITY COLLEGE,VIRGINIA,,,,
"Redbank Valley School District, Pennsylvania",NDA,REDBANK VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Yonkers Public Schools, New York",NDA,YONKERS PUBLIC SCHOOLS,NEW YORK,,,,
"Jefferson-Morgan School District, Pennsylvania",NDA,JEFFERSON-MORGAN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Susquehanna Township School District, Pennsylvania",NDA,SUSQUEHANNA TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,,,,
"University of North Dakota, North Dakota",NDA,UNIVERSITY OF NORTH DAKOTA,NORTH DAKOTA,,,,
"Hannibal School District #60, Missouri",NDA,HANNIBAL SCHOOL DISTRICT #60,MISSOURI,,,,
"North Idaho College, Idaho",NDA,NORTH IDAHO COLLEGE,IDAHO,,,,
"Hillsborough Area Regional Transit Authority, Florida",NDA,HILLSBOROUGH AREA REGIONAL TRANSIT AUTHORITY,FLORIDA,,,,
"Sikeston R-VI School District, Missouri",NDA,SIKESTON R-VI SCHOOL DISTRICT,MISSOURI,,,,
"Chicago Park District, Illinois",NDA,CHICAGO PARK DISTRICT,ILLINOIS,,,,
"Florida Agency for Person with Disabilities, Florida",NDA,FLORIDA AGENCY FOR PERSON WITH DISABILITIES,FLORIDA,,,,
"Washington Township School District (Gloucester County), New Jersey",NDA,WASHINGTON TOWNSHIP SCHOOL DISTRICT (GLOUCESTER COUNTY),NEW JERSEY,,,,
"Los Angeles City Housing Authority, California",NDA,LOS ANGELES CITY HOUSING AUTHORITY,CALIFORNIA,,,,
"Marble Falls Independent School District, Texas",NDA,MARBLE FALLS INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Jersey Community Unit School District No. 100, Illinois",NDA,JERSEY COMMUNITY UNIT SCHOOL DISTRICT NO. 100,ILLINOIS,,,,
"University of Oregon, Oregon",NDA,UNIVERSITY OF OREGON,OREGON,,,,
"Brewer School Department, Maine",NDA,BREWER SCHOOL DEPARTMENT,MAINE,,,,
"Northern Wyoming Community College/Sheridan College, Wyoming",NDA,NORTHERN WYOMING COMMUNITY COLLEGE/SHERIDAN COLLEGE,WYOMING,,,,
"Conejo Valley Unified School District, California",NDA,CONEJO VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Southern Crescent Technical College, Georgia",NDA,SOUTHERN CRESCENT TECHNICAL COLLEGE,GEORGIA,,,,
"Regional School District No. 10, Connecticut",NDA,REGIONAL SCHOOL DISTRICT NO. 10,CONNECTICUT,,,,
"Catoosa County Public Schools, Georgia",NDA,CATOOSA COUNTY PUBLIC SCHOOLS,GEORGIA,,,,
"College of Dupage, Illinois",NDA,COLLEGE OF DUPAGE,ILLINOIS,,,,
"Henderson State University, Arkansas",NDA,HENDERSON STATE UNIVERSITY,ARKANSAS,,,,
"Anaheim Elementary School District, California",NDA,ANAHEIM ELEMENTARY SCHOOL DISTRICT,CALIFORNIA,,,,
"California Department of Corrections and Rehabilitation, California",NDA,CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION,CALIFORNIA,,,,
"University of North Georgia, Georgia",NDA,UNIVERSITY OF NORTH GEORGIA,GEORGIA,,,,
"Kingsborough Community College CUNY, New York",NDA,KINGSBOROUGH COMMUNITY COLLEGE CUNY,NEW YORK,,,,
"City College of New York CUNY, New York",NDA,CITY COLLEGE OF NEW YORK CUNY,NEW YORK,,,,
"Kern High School District, California",NDA,KERN HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"University Of Missouri -Science & Technology, Missouri",NDA,UNIVERSITY OF MISSOURI -SCIENCE & TECHNOLOGY,MISSOURI,,,,
"University Of Missouri-Columbia (Mizzou), Missouri",NDA,UNIVERSITY OF MISSOURI-COLUMBIA (MIZZOU),MISSOURI,,,,
"Kalispell Public Schools, Montana",NDA,KALISPELL PUBLIC SCHOOLS,MONTANA,,,,
"Bonner Springs/Edwardsville USD 204, Kansas",NDA,BONNER SPRINGS/EDWARDSVILLE USD 204,KANSAS,,,,
"Eastern Kentucky University, Kentucky",NDA,EASTERN KENTUCKY UNIVERSITY,KENTUCKY,,,,
"University of Massachusetts Medical School, Massachusetts",NDA,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,MASSACHUSETTS,,,,
"Slippery Rock University, Pennsylvania",NDA,SLIPPERY ROCK UNIVERSITY,PENNSYLVANIA,,,,
"Lewisville Independent School District, Texas",NDA,LEWISVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"USD 232 DeSoto, Kansas",NDA,USD 232 DESOTO,KANSAS,,,,
"Crown Point Community School Corporation, Indiana",NDA,CROWN POINT COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Starkville Oktibbeha County School District, Mississippi",NDA,STARKVILLE OKTIBBEHA COUNTY SCHOOL DISTRICT,MISSISSIPPI,,,,
"Starkville School District, Mississippi",NDA,STARKVILLE SCHOOL DISTRICT,MISSISSIPPI,,,,
"Town Of Oyster Bay, New York",NDA,TOWN OF OYSTER BAY,NEW YORK,,,,
"Hickory Ridge Middle School, North Carolina",NDA,HICKORY RIDGE MIDDLE SCHOOL,NORTH CAROLINA,,,,
"Oxford Academy Central School District, New York",NDA,OXFORD ACADEMY CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Wilson Middle School, Washington",NDA,WILSON MIDDLE SCHOOL,WASHINGTON,,,,
"City of Shafter, California",NDA,CITY OF SHAFTER,CALIFORNIA,,,,
