Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Boulder Valley School District No. Re2, Colorado",NDA,BOULDER VALLEY SCHOOL DISTRICT NO. RE2,COLORADO,NCES_District-0802490,P O BOX 9011,BOULDER,http://www.bvsd.org
"Rye City School District, New York",NDA,RYE CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3625260,555 THEODORE FREMD AVE-ST B-101,RYE,http://www.ryeschools.org
"Frederick County Public Schools, Maryland",NDA,FREDERICK COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400330,191 South East Street,Frederick,http://www.fcps.org
"Fresno County Office of Education, California",NDA,FRESNO COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691007,1111 Van Ness Ave.,Fresno,http://www.fcoe.org
"Pinelands Regional School District, New Jersey",NDA,PINELANDS REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3413000,520 Nugentown Road,Little Egg Harbor,http://www.pinelandsregional.org
"Ballston Spa Central School District, New York",NDA,BALLSTON SPA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3603930,70 MALTA AVE,BALLSTON SPA,http://www.bscsd.org
"Elgin ISD, Texas",NDA,ELGIN ISD,TEXAS,NCES_District-4818360,P O BOX 351,ELGIN,http://www.elginisd.net
"Stanley-Boyd Area School District, Wisconsin",NDA,STANLEY-BOYD AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5514430,507 E 1st Ave,Stanley,http://www.stanleyboyd.k12.wi.us
"Roseville Community Schools, Michigan",NDA,ROSEVILLE COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2630210,18975 CHURCH ST,ROSEVILLE,http://www.rcs.misd.net
"Charles County Public Schools, Maryland",NDA,CHARLES COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400270,P.O. Box 2770,La Plata,http://www.ccboe.com
"Northport-East Northport Union Free School District, New York",NDA,NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3621270,PO BOX 210,NORTHPORT,http://www.northport.k12.ny.us
"Stockbridge Community Schools, Michigan",NDA,STOCKBRIDGE COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2633030,100 Price Ave Ste A,STOCKBRIDGE,http://panthernet.net
"Monroe 2-Orleans BOCES, New York",NDA,MONROE 2-ORLEANS BOCES,NEW YORK,NCES_District-3680520,3599 BIG RIDGE RD,SPENCERPORT,http://www.monroe2boces.org
"Rockport-Fulton ISD, Texas",NDA,ROCKPORT-FULTON ISD,TEXAS,NCES_District-4808550,P O BOX 907,ROCKPORT,http://www.rfisd.us
"Westhill Central School District, New York",NDA,WESTHILL CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607320,400 WALBERTA RD,SYRACUSE,http://www.westhillschools.org
"Glen Cove City School District, New York",NDA,GLEN COVE CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3612180,150 DOSORIS LN,GLEN COVE,http://www.glencoveschools.org
"Hamburg School District, Arkansas",NDA,HAMBURG SCHOOL DISTRICT,ARKANSAS,NCES_District-0500042,202 E PARKER ST,HAMBURG,http://hsdlions.org
"Uinta County School District #1, Wyoming",NDA,UINTA COUNTY SCHOOL DISTRICT #1,WYOMING,NCES_District-5602760,P.O. Box 6002,Evanston,http://www.uinta1.com
"Scarborough Public Schools, Maine",NDA,SCARBOROUGH PUBLIC SCHOOLS,MAINE,NCES_District-2310530,PO Box 370,Scarborough,http://www.scarboroughschools.org/
"Eastampton Township School District, New Jersey",NDA,EASTAMPTON TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3404350,1 Student Drive,Eastampton,http://www.etsdnj.us
"Converse County School District #1, Wyoming",NDA,CONVERSE COUNTY SCHOOL DISTRICT #1,WYOMING,NCES_District-5602140,615 Hamilton Street,Douglas,http://www.ccsd1.org
"Niagara Falls City School District, New York",NDA,NIAGARA FALLS CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3620820,630 66TH ST,NIAGARA FALLS,http://www.nfschools.net
"Cabell County Schools, West Virginia",NDA,CABELL COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400180,2850 5TH AVE,HUNTINGTON,
